name,price,points,position,team,team_pr,team_GF,team_GA,opponent,opponent_pr,opponent_GF,opponent_GA,Apps,Mins,Goals,Assists,SpG,Rating,Apps%,Mins%,Goals%,Assists%,GnA%,name_e
עבדולקאדר עומור,5,0,M,טורקיה,0.6337932201305448,0,0,איטליה,0.9208837109446589,0,0,0,13,0,0,0.0,5.98,0.0,0.019174041297935103,0.0,0.0,0.0,Abdülkadir Ömür
פטריק הרושובסקי,5,0,M,סלובקיה,0.12769003786816638,0,0,פולין,0.43606352344699884,0,0,5,499,0,0,0.25,6.635,0.7142857142857143,0.792063492063492,0.0,0.0,0.0,Patrik Hrosovsky
פייר-אמיל הויביירג,5,0,M,דנמרק,0.7458117240666777,0,0,פינלנד,0.04697682260816799,0,0,6,555,1,2,0.7,7.4399999999999995,0.6666666666666666,0.7245430809399478,0.05,0.18181818181818182,0.0967741935483871,Pierre-Emile Højbjerg
פיליפ הולנדר,5,0,M,הונגריה,0.15166163251232578,0,0,פורטוגל,0.823428402144593,0,0,4,355,0,0,0.8,6.65,0.5,0.4930555555555556,0.0,0.0,0.0,Filip Holender
פלוריאן גריליץ',5,0,M,אוסטריה,0.4274293041742171,0,0,צפון מקדוניה,0.02757270071027259,0,0,3,274,0,0,0.5,6.71,0.3333333333333333,0.3442211055276382,0.0,0.0,0.0,Florian Grillitsch
פרדריק ינסן,5,0,M,פינלנד,0.04697682260816799,0,0,דנמרק,0.7458117240666777,0,0,1,157,3,0,1.0,7.06,0.125,0.22237960339943344,0.3,0.0,0.17647058823529413,Fredrik Jensen
קווין וארגה,5,0,M,הונגריה,0.15166163251232578,0,0,פורטוגל,0.823428402144593,0,0,1,171,1,0,0.9,6.79,0.125,0.2375,0.058823529411764705,0.0,0.03571428571428571,Kevin Varga
קווין ניסבט,5,0,M,סקוטלנד,0.18797231776519688,0,0,צ`כיה,0.4328339833197214,0,0,0,22,0,0,0.0,5.96,0.0,0.030555555555555555,0.0,0.0,0.0,Kevin Nisbet
קלווין פיליפס,5,0,M,אנגליה,0.8693609080358129,0,0,קרואטיה,0.5556789126350667,0,0,5,441,0,0,0.0,6.83,0.625,0.6246458923512748,0.0,0.0,0.0,Kalvin Phillips
קסאבר שלאגר,5,0,M,אוסטריה,0.4274293041742171,0,0,צפון מקדוניה,0.02757270071027259,0,0,8,680,0,0,0.85,6.295,0.8888888888888888,0.8542713567839196,0.0,0.0,0.0,Xaver Schlager
קרול לינטי,5,0,M,פולין,0.43606352344699884,0,0,סלובקיה,0.12769003786816638,0,0,2,197,1,0,1.2,6.58,0.25,0.261968085106383,0.07692307692307693,0.0,0.038461538461538464,Karol Linetty
רובין לוד,5,0,M,פינלנד,0.04697682260816799,0,0,דנמרק,0.7458117240666777,0,0,4,347,1,1,1.5,7.529999999999999,0.5,0.4915014164305949,0.1,0.14285714285714285,0.11764705882352941,Robin Lod
רומן זובנין,5,0,M,רוסיה,0.366186018983931,0,0,בלגיה,0.9179063105527637,0,0,5,439,0,2,1.0,7.01,0.625,0.6174402250351617,0.0,0.18181818181818182,0.07692307692307693,Roman Zobnin
ריאן חראוונברש,5,0,M,הולנד,0.7444165802422154,0,0,אוקראינה,0.398685614063681,0,0,0,64,0,0,0.0,6.49,0.0,0.07901234567901234,0.0,0.0,0.0,Ryan Gravenberch
