name,position,price,pred_points,team,pred_score,opponent,Rating,Mins_percentage,GnA_percentage
ג'אנלואיג'י דונארומה,GK,8,6.0,איטליה,"(2, 0)",טורקיה,6.865,1.0,0.0
מאצ'יי ריבוס,D,6,6.831807951987997,פולין,"(1, 0)",סלובקיה,6.96,0.34,0.077
כריסטיאן אריקסן,M,9,6.6671840923669015,דנמרק,"(3, 0)",פינלנד,7.055,0.957,0.129
מייסון מאונט,M,9,5.491463184985248,אנגליה,"(2, 1)",קרואטיה,7.17,0.782,0.138
ממפיס דפאיי,FW,12,6.0784273283918795,הולנד,"(1, 1)",אוקראינה,8.26,0.874,0.219
אלסנדרו פלורנצי,D,8,6.612207265351282,איטליה,"(2, 0)",טורקיה,6.89,0.606,0.043
אנטואן גרייזמן,M,13,6.6168610585469345,צרפת,"(1, 1)",גרמניה,7.49,0.938,0.227
רומלו לוקאקו,FW,14,6.850505302557704,בלגיה,"(3, 0)",רוסיה,7.54,0.778,0.167
שטפן ליינר,D,6,7.614446769729295,אוסטריה,"(1, 0)",צפון מקדוניה,6.9,1.0,0.12
ריקרדו רודריגס,D,7,8.402098744194047,שווייץ,"(1, 0)",וויילס,7.125,0.959,0.056
ז'ואאו קאנסלו,D,8,8.610694333599362,פורטוגל,"(3, 0)",הונגריה,7.285,0.78,0.097
